update,timesteps,completed_episodes,mean_completed_return,partial_return,policy_loss,value_loss,entropy
63,129024,5,349.7930229850923,929.3795846855678,-0.015192786871921271,88.18923032283783,2.919389495253563
64,131072,6,569.006788517373,145.29911055598598,-0.01963190415990539,54.73933131694794,2.9162422209978103
65,133120,3,751.8669042223928,119.1956254183638,-0.004575037106405944,17.44865263104439,2.9272692501544952
66,135168,3,700.6018085552323,396.0194549545062,-0.01768317125388421,69.92402896881103,2.9358258098363876
67,137216,6,430.1605528698135,128.2476035062987,-0.018207830615574495,214.01326837539673,2.9364380955696108
68,139264,2,911.9736632180426,903.4894545768823,-0.010110283229732887,57.12023667097092,2.938994437456131
69,141312,4,651.0141069478877,396.82792125242446,-0.013060373277403415,35.58516953736544,2.9454669773578646
70,143360,4,513.4829769323494,1036.6611053328884,-0.015337421640288085,69.5160724401474,2.952283900976181
71,145408,5,636.5982593803607,264.33798077417777,-0.01488094953529071,77.13395167589188,2.9577782183885573
72,147456,2,978.3370126227491,830.7209545497694,-0.0016461443388834595,6.227039295434952,2.9685608446598053
73,149504,5,516.0336538170625,675.8418175678872,0.014747081397217698,88.06129815578461,2.9715420097112655
74,151552,4,592.2777346261546,818.7666220557094,-0.014563194892252796,111.3324558019638,2.9666589468717577
75,153600,5,610.9813718887674,210.52588655006238,-0.015574202756397426,54.32681456804276,2.9576709270477295
76,155648,5,516.9817300546777,116.29028451649248,-0.01287219567457214,81.5521991968155,2.955609694123268
77,157696,4,573.3620314718391,194.86858076727788,-0.011107017094036564,59.089085566997525,2.9572408974170683
78,159744,6,457.5751622344566,142.50961236370495,-0.019142394221853466,79.47223229408264,2.963615784049034
79,161792,2,963.4628352685629,517.709627266362,-0.01362668774672784,15.209122639894485,2.961508423089981
80,163840,4,587.3005874602588,717.852464474306,-0.015202317864168435,66.94471177458763,2.9587904423475266
81,165888,4,710.0958455268334,354.1216400635226,-0.014687386143486946,34.567883425951,2.953851529955864
82,167936,9,298.4931337348663,367.3478192888156,-0.016285676532424985,156.44567003250123,2.9505704671144484
83,169984,5,475.1048796610806,344.07145000508336,-0.014545018912758678,89.26593105792999,2.9391908198595047
84,172032,6,410.2571762774271,190.08283814488868,-0.014812988857738674,112.16721098423004,2.925045582652092
85,174080,4,546.6929281188582,592.626042829132,-0.015897075837710873,89.21298849582672,2.9218938261270524
86,176128,4,675.213359874338,270.0594102590846,-0.01299097859300673,13.795592230558395,2.922453361749649
87,178176,2,903.5779374839483,900.6982306226695,0.0063290288555435835,5.389625737071038,2.9069476038217545
88,180224,6,548.7189120358059,163.3899301811135,-0.010118469747249037,116.85184922218323,2.901729792356491
89,182272,4,642.821365423605,75.61884437977943,-0.007811935862991959,24.896775019168853,2.9053873866796494
90,184320,4,623.3772528095658,183.47976547486473,-0.012703108286950737,43.910207867622375,2.915915012359619
91,186368,6,414.90608840132444,327.84382309669786,-0.01212664947961457,132.2208791732788,2.910942313075066
92,188416,3,716.3140625259258,544.9885413316993,-0.013774092178209685,61.117247140407564,2.9095660001039505
93,190464,3,891.4542745696117,207.72556907225382,-0.004035131586715579,8.244262936711312,2.9147042751312258
94,192512,5,525.4021722019885,262.4468327527887,-0.010170380768249743,43.35098606944084,2.9060769259929655
95,194560,5,399.6468250785737,790.214994655317,-0.016280369652668013,206.27178525924683,2.9002825766801834
96,196608,4,733.612627580802,479.3642578642346,-0.016237896075472234,46.345073115825656,2.9037120908498766
97,198656,5,482.16387249537377,747.5771568466024,-0.016699297033483163,101.41808254718781,2.911496511101723
98,200704,4,725.3270801112278,507.92907976077095,-0.014251184766180813,82.74060277938842,2.9241035759449003
99,202752,7,422.7568403916779,62.52860738525001,-0.017322241386864334,166.15976252555848,2.9208320409059523
100,204800,4,471.21936965421696,714.7242435157256,-0.015538921603001654,42.39709488153458,2.9233684957027437
101,206848,5,578.6461936948918,272.00546649632093,-0.012126176769379526,93.73311091661454,2.946392697095871
102,208896,6,468.98646899985096,70.82868047725914,-0.02068998316535726,122.21554536819458,2.9652235835790632
103,210944,4,381.0117867536611,955.4778705366459,-0.015442289062775671,91.47950187921523,2.9607253164052962
104,212992,4,639.8945440663604,933.9834144205358,-0.01690490617766045,64.69513245821,2.963096076250076
105,215040,5,657.7835570345003,321.4290272430533,-0.01569495362928137,62.02526581287384,2.9668223530054094
106,217088,3,857.9355953408558,376.64630899455443,-0.013544815720524638,19.22614459991455,2.978271371126175
107,219136,4,670.189189957771,163.54809765238105,-0.003672110429033637,26.17359127998352,2.9813059121370316
108,221184,3,739.7571370290956,604.3275303613478,-0.009501992102013902,10.435251921415329,2.9788518458604814
109,223232,4,576.2108495323379,777.1811010645421,-0.008378234459087253,50.58245328366756,2.974342831969261
110,225280,5,635.0841080113262,131.71728625240974,-0.013155463000293821,106.56361796855927,2.9805266737937925
111,227328,3,617.0764739183854,894.4025259615343,-0.014961867762031034,16.640290775895117,2.9857089459896087
112,229376,6,536.0147640265371,292.1539082124311,-0.014439787715673447,66.89964380264283,2.9926647007465363
113,231424,4,729.368129874106,121.84199236345948,-0.015547120745759457,14.33741192817688,3.0007760286331178
114,233472,3,451.73914337235436,962.1429168381943,-0.008128347992897033,92.78883731365204,2.9929033517837524
115,235520,6,470.2697969858823,643.7748567900571,-0.020831019361503424,75.27933316230774,2.9928070306777954
116,237568,4,761.9420222673616,324.65060006084934,-0.016168085276149213,16.94941748380661,2.9895132333040237
117,239616,5,494.1383845008786,425.3552990380647,-0.015848341677337886,71.7124532699585,2.9950305044651033
118,241664,5,523.0982014761662,303.58145842596684,-0.01644316033634823,119.36248116493225,2.9960655480623246
119,243712,8,291.62930458935523,542.1521707893282,-0.016683978273067623,207.94451189041138,2.9971778094768524
120,245760,6,418.9487593316081,581.5114030382475,-0.01398840812034905,103.2246547460556,2.997491681575775
121,247808,4,778.8190083527735,181.03892853303233,-0.008299865736626088,15.710761296749116,2.9972569227218626
122,249856,6,444.02768549265255,162.9679035891524,-0.016485645028296858,94.59662256240844,2.992129218578339
123,251904,8,227.54781771908088,708.0486294902787,-0.01616887357959058,196.84297103881835,2.995754677057266
124,253952,4,707.7043931911628,318.7844684640148,-0.012166982336202637,44.76248504519462,3.0098990350961685
125,256000,6,403.51184634733653,393.3313356854792,-0.01860864016925916,106.69194006919861,3.014907604455948
126,258048,7,338.8484809815221,536.7404187519926,-0.016822050645714626,168.38176136016847,3.01954625248909
127,260096,4,775.9532281888526,59.74901274645095,-0.013198208931135014,32.94232133626938,3.0211315602064133
128,262144,5,520.8906704157965,170.8736663612719,-0.01022378474008292,126.93428466320037,3.0263066709041597
129,264192,3,808.1602132899611,416.33965533736625,-0.00820725726080127,16.954785054922105,3.0288710057735444
130,266240,3,724.0692224789831,852.278512257232,-0.002139718399848789,34.27390692830086,3.035536852478981
131,268288,4,809.5029431953116,166.01033139616874,-0.011544691730523481,35.4612441778183,3.0323191404342653
132,270336,6,407.4489446811305,467.8500668837259,-0.012305394330178387,221.56553373336791,3.0381638526916506
133,272384,5,400.9145258773259,856.929048602579,-0.020225156884407625,54.43601430654526,3.0420787185430527
134,274432,5,636.3836252927608,333.6294225851027,-0.012369069119449705,88.45869164466858,3.0469951182603836
135,276480,6,474.62244174360967,77.0393054881732,-0.0165955604868941,51.2589512348175,3.0645930618047714
136,278528,4,480.1861628558189,589.2909749733683,-0.01644487006124109,134.89528660774232,3.065190902352333
137,280576,5,570.507661526902,267.5212395074239,-0.014493931940523907,60.08970341682434,3.0551701486110687
138,282624,5,505.4380206666341,358.9554925200065,-0.016225473041413353,49.14306478500366,3.0605782210826873
139,284672,5,496.0284934564993,318.7168258005777,-0.011391481809550897,75.72869019508362,3.067908099293709
140,286720,7,356.18203520191025,402.03130547148567,-0.009229549329029396,119.89365406036377,3.0646582394838333
141,288768,5,486.6368753397558,426.2183655522157,-0.007721809874055907,81.26053266525268,3.067462480068207
142,290816,6,457.05749931989436,212.2568706024389,-0.0134929540916346,87.38210589885712,3.060029634833336
143,292864,2,976.99306103772,797.6591951130872,-0.003029726108070463,14.920063671469688,3.061767426133156
144,294912,5,602.5158033505138,395.9103639449679,-0.008592175040394067,63.15599009990692,3.056045889854431
145,296960,5,379.54870097589554,956.8046833911004,-0.012237714527873322,64.77125480175019,3.0717013120651244
146,299008,4,634.6886007895844,663.6059785983279,-0.013816701661562547,71.44056146144867,3.070899611711502
147,301056,10,315.8663323285134,165.36207650317016,-0.020845561905298383,182.53321795463563,3.0612556755542757
148,303104,4,628.8200523991857,361.3902135381836,-0.011896890049683861,42.2688090801239,3.060164624452591
149,305152,7,425.50416849349676,35.13827515721877,-0.020445089487475344,156.28714990615845,3.059576141834259
150,307200,5,361.1669581641314,797.5182967355887,-0.014876656146952882,106.74324908256531,3.0493356853723528
151,309248,4,665.5508498804984,498.0381767505583,-0.011174878990277647,224.07075309753418,3.0419135987758636
152,311296,4,674.3221796578555,275.1763623500182,-0.017018329136772082,39.1876091837883,3.0338276654481886
153,313344,4,696.6066415995344,18.827780875902448,-0.011638355953618885,45.490527576208116,3.0218517929315567
154,315392,3,901.4964611650536,47.401793104814416,-0.011245134321507066,24.873320835828782,3.0142081558704374
155,317440,5,453.62680713737626,493.86674712192513,-0.014037853793706746,184.15682020187378,3.0146344721317293
156,319488,3,1008.2410636037862,1.436623080522503,0.006516578129958361,6.978117081522941,3.011868032813072
157,321536,3,787.842729650784,318.05598666324727,-0.006486462784232571,30.485697507858276,3.004312884807587
158,323584,4,569.0568508841814,727.3797607114736,-0.015258822846226395,26.557097911834717,3.0005192905664444
159,325632,5,682.6486764759251,25.875599530124887,-0.009740531578427181,69.44878997802735,3.0150069892406464
160,327680,4,561.1378134321014,441.00005471438647,-0.015308977442327888,77.20498361587525,3.0246553093194963
161,329728,4,542.0612817397537,690.6290510013915,-0.009573462337721139,141.78184766769408,3.0196767270565035
162,331776,4,792.8547086015138,21.198752119972628,-0.01553583720815368,33.9302758872509,2.9990183085203173
163,333824,5,434.8504990577911,512.3450610430361,-0.015163093304727227,96.82996335029603,2.981220173835754
164,335872,6,471.982475801268,282.41679115952695,-0.01181781047489494,176.3386591911316,2.9782025694847105
165,337920,3,716.3843255072665,832.6210543801844,-0.00587482227711007,23.999702963232995,2.9795817166566847
166,339968,3,1084.818941868018,409.66738894847765,0.0026862137601710856,8.896253997087479,2.992374262213707
167,342016,6,453.87448162104874,321.0678713180505,0.0028065594553481786,101.79151084423066,3.014641612768173
168,344064,6,443.22530608593934,319.62844725239984,-0.014229417382739484,148.310578417778,3.01834951043129
169,346112,5,447.4238945233052,780.693290213943,-0.01571120842709206,76.29362977743149,3.019605502486229
170,348160,4,760.2272870923898,469.18970551308223,-0.015197977729258128,82.24257395267486,3.0066504031419754
171,350208,5,512.6662761694372,659.5377594982207,-0.007557504723081365,27.487639078497885,2.9914324462413786
172,352256,4,802.5380309638115,148.36161445157708,-0.011392201215494424,133.1148004055023,2.9898691147565843
173,354304,5,509.4106990436941,187.89866112480894,-0.0124188672285527,133.3644446849823,2.988333398103714
174,356352,4,432.0550926045844,944.5612026839777,-0.015358187782112509,37.9770672082901,2.9742085129022597
175,358400,5,723.5141829780875,121.261837353019,-0.01783190217684023,25.606797790527345,2.9686886042356493
176,360448,4,476.798548704808,660.1063782043757,-0.013941839089966379,92.66510813236236,2.97449089884758
177,362496,5,607.8706960018493,68.87187323323609,-0.015091693901922554,81.74490976333618,2.97912802696228
178,364544,2,1052.3375420731047,636.0626962872499,0.01441587129374966,1.4164720602333545,2.98498492538929
179,366592,6,519.5843415255198,139.7597094090122,-0.004239329582196661,77.80558632612228,2.9828235149383544
180,368640,4,678.7997936519467,24.08475134609059,-0.013871032214956358,56.8960675239563,2.9890772670507433
181,370688,5,473.68457567854955,332.5760712159122,-0.01713082953938283,88.15939335823059,2.9848550647497176
182,372736,5,594.8865909635712,55.00743358120561,-0.012349262327188627,56.191352581977846,2.980224904417992
183,374784,3,832.1422713279477,199.0053844658249,-0.013208901614416391,32.337368512153624,2.980900564789772
184,376832,3,826.80052605214,293.3475092402465,-0.01055058227502741,83.20688799619674,2.9761264234781266
185,378880,4,734.2404892296872,37.07963097890231,-0.01694938628061209,8.454592542350293,2.9699712604284287
186,380928,3,664.8144089148532,514.3619067781525,-0.010719120997237042,16.862265366315842,2.9536550134420394
187,382976,4,533.0483680417422,919.2320436802804,-0.017316861392464487,44.882747769355774,2.936239179968834
188,385024,4,664.2422784208311,843.5875069109384,-0.014302672527264804,79.1236227273941,2.927124187350273
